mode,run_idx,time_below_threshold_s,time_until_first_exceed_s,time_after_last_exceed_s,position_rmse_pre_lost_m,yaw_rmse_pre_lost_deg,position_rmse_post_lost_m,yaw_rmse_post_lost_deg
default_001,16,157.20000819899997,157.20000819899997,157.20000819899997,0.1920728396830475,2.2046529133284314,,
default_001,17,78.7000041049996,78.63333743400017,0.0,0.21803029103750302,2.2245912832246395,,
default_001,18,74.55000388799999,74.45000388300014,0.0,0.21684271276078634,3.261414418119964,,
default_001,19,80.2500041860003,80.2500041860003,0.0,0.2276281454391218,2.5837525402652437,,
default_001,20,95.5000049820037,85.60000446399954,0.0,0.23322794314112108,2.751528440923881,,
default_001,21,157.20000819799952,157.20000819799952,157.20000819799952,0.2749197053734582,3.1582063923514285,,
default_001,22,56.533336282000164,56.533336282000164,0.0,0.17020551594111347,3.3722440692302698,,
default_001,23,142.51667410100004,80.28333752100002,61.900003228,0.22956435320132612,2.86704511180778,0.18819322314845466,2.2136348214211714
default_001,24,86.30000450199987,86.1500044939994,0.0,0.2003412940526951,2.018486840487283,,
default_001,25,71.58333706699977,71.58333706699977,0.0,0.2040482943987317,2.833515352414926,,
default_001,26,157.21667486599927,157.21667486599927,157.21667486599927,0.260286748727379,2.2379071749912836,,
default_001,27,96.10000501299965,86.31667116900007,0.0,0.1486466777191782,2.754642910504197,,
default_001,28,157.20000819799952,157.20000819799952,157.20000819799952,0.3181385946433459,2.2816475683986672,,
default_001,29,148.51667441300015,82.0666709469997,66.3166701250002,0.24288485350102668,4.1002675655978615,0.3903743623237164,2.808124201259065
tuning,0,157.21667486600018,157.21667486600018,157.21667486600018,0.24868525845709297,2.421380343280581,,
tuning,1,118.35000617399874,73.33333715799972,44.2666689749999,0.21555805100314093,2.2624178804631385,0.356749581173995,2.1943408763766774
tuning,2,105.41667216400083,78.20000407800035,25.566667999999936,0.23375249684279928,3.7586998731502774,0.39978783381283095,2.087799479161176
tuning,3,128.10000667999975,73.6333371730002,53.483336121999855,0.20191298391150128,2.495371444715985,0.28945792987061963,2.0542288984296033
tuning,4,69.75000363799973,69.75000363799973,0.0,0.19015290351308448,2.583638762014296,,
tuning,5,146.21667429299941,84.48333774000002,52.13333605199978,0.26652422626850514,2.969750392903937,0.17819689921050547,1.7498832948782268
tuning,6,80.60000420400002,80.50000419799971,0.0,0.21174956718619364,2.583008538589525,,
tuning,7,157.20000819799998,157.20000819799998,157.20000819799998,0.17090583821775354,2.342519541436818,,
tuning,8,155.96667480099995,80.98333755700014,74.98333724399981,0.1689257348609512,2.009527696872654,0.12449580168548298,1.9552798057660916
tuning,9,72.26667043599991,71.45000372699997,0.0,0.15732265060134318,2.051814457198947,,
tuning,10,133.2500069510006,82.16667095199955,50.71666931100026,0.21911479747061413,2.5601895504055086,0.1752281773153588,1.895036753976699
tuning,11,64.03333667300012,64.03333667300012,0.0,0.20208349926431132,2.1903890347852455,,
tuning,12,95.8500049989998,95.8500049989998,0.0,0.22660106120648707,3.129164280880838,,
tuning,13,69.56667029500022,69.56667029500022,0.0,0.13375331595610082,1.77493533123475,,
tuning,14,82.80000431799999,82.53333763800038,0.0,0.32918341661464545,3.7741887226402784,,
tuning,15,121.45000633500058,93.06667152099999,28.200001471000178,0.18220134509253194,2.5222298378102517,0.35575992013403424,1.9221502079380497
tuning,16,157.20000819899997,157.20000819899997,157.20000819899997,0.2452164182254028,1.8942695404378467,,
tuning,17,98.33333845999914,78.23333741299939,19.733334362999813,0.22324275373571453,2.7395069233682428,0.390744781200413,2.22176452121068
tuning,18,71.13333704199977,53.633336130000316,15.300000797999928,0.15822596155755922,3.7412173510321987,0.30887143866935957,0.9426965821837563
tuning,19,72.53333711699997,72.50000378200002,0.0,0.2399223140983323,2.1940130140934655,,
tuning,20,95.56667165300132,84.36667106699952,0.0,0.2141878031581876,2.2966344681288633,,
tuning,21,151.53334123499917,89.45000466499914,61.7500032199996,0.260974342508414,2.391180724218634,0.1830658408010999,1.5641858364307126
tuning,22,54.716669519999414,53.433336119999694,0.0,0.1804501284007067,2.1094488140814347,,
tuning,23,147.100007673,81.71667092900003,63.96667000299999,0.15823324484893567,1.8724809020716393,0.15933411893514124,2.3699106176010263
tuning,24,152.18334127100024,94.35000492099971,57.833336350000536,0.19419610916012356,2.2204456229135325,0.21528574158429917,3.4518830241716043
tuning,25,98.33333845900052,74.25000387199998,21.9166678090005,0.21634830292513466,2.240310330792149,0.22993139800713094,1.9038428294628582
tuning,26,157.20000819899997,157.20000819899997,157.20000819899997,0.24901568655483597,1.9128385506903223,,
tuning,27,157.20000819899997,157.20000819899997,157.20000819899997,0.2297488197435645,1.8117673814612187,,
tuning,28,157.20000819799952,157.20000819799952,157.20000819799952,0.25939774488516787,1.9228295525701709,,
tuning,29,87.63333790300021,72.0333370899998,15.100000787000681,0.15424436408756229,1.6577784688324604,0.45568943879647983,1.346549176887826
